"ApkName","FieldName","OriginalText","TranslatedText",
"AccountAndSyncSettings.apk","xiaomi_remove_account_message","Removing this account will also delete Xiaomi service data, Market and MiTalk applications (Contacts, SMS and Call logs are retained), are you sure you want to remove?","Het wissen van dit account wist ook MI-ONE service gegevens, Market en MiTalk applicaties (Contact, SMS en Bel logs blijven bestaan), weet u zeker dat u wilt wissen?",
"AccountAndSyncSettings.apk","sending_bind_request","Request has been sent","Verzoek verstuurd",
"AccountAndSyncSettings.apk","service_unavailable","Service currently unavailable","Service tijdelijk niet beschikbaar",
"AccountAndSyncSettings.apk","service_disabled","Service has been disabled","Service is uitgeschakeld",
"AccountAndSyncSettings.apk","sync_item_title","Sync %s","%s synchroniseren",
"AccountAndSyncSettings.apk","sync_error","Sync error","Fout bij synchroniseren",
"AccountAndSyncSettings.apk","cant_sync_dialog_message","Sync for this item is currently disabled. To change your preference, temporarily turn on background data and automatic sync.","Synchroniseren is op dit moment uitgeschakeld voor dit item. Als u uw voorkeuren wilt wijzigen, schakelt u achtergrondgegevens en automatisch synchroniseren tijdelijk in",
"AccountAndSyncSettings.apk","sync_is_failing","Sync is currently experiencing problems. It will be back shortly.","Er zijn momenteel problemen met de synchronisatie. Synchronisatie wordt snel opnieuw uitgevoerd",
"AccountAndSyncSettings.apk","sync_disabled","Sync is OFF","Synchroniseren uitgeschakeld",
"AccountAndSyncSettings.apk","sync_enabled","Sync is ON","Synchroniseren ingeschakeld",
"AccountAndSyncSettings.apk","sync_menu_sync_now","Sync now","Nu synchroniseren",
"AccountAndSyncSettings.apk","sync_too_many_deletes_desc","There are %1$d deleted items for %2$s, account %3$s. What would you like to do?","Er zijn %1$d verwijderde items voor %2$s, account %3$s. Wat wilt u doen?",
"AccountAndSyncSettings.apk","remove_account_failed","This account is required by some applications. You can only remove it by resetting the phone to factory defaults (which deletes all your personal data). You do that in the Settings application, under Privacy.",""Dit account is vereist voor sommige apps. U kunt het account alleen wissen door de telefoon te herstellen naar de fabrieksinstellingen (al uw persoonlijke gegevens worden gewist). U kunt dit doen via de app Instellingen, bij 'Privacy'"",
"AccountAndSyncSettings.apk","sync_one_time_sync","Touch to sync now\n%1$s",""Aanraken om nu te synchroniseren
%1$s"",
"AccountAndSyncSettings.apk","user_unbind","unbind","Verbreek",
"AccountAndSyncSettings.apk","sync_undo_deletes","Undo the deletes.","Wissen ongedaan maken",
"AccountAndSyncSettings.apk","unknown","Unknown error occurred","Onbekende fout opgetreden",
"AccountAndSyncSettings.apk","registered_account","Username has been registered","Gebruikersnaam is geregistreerd",
"AccountAndSyncSettings.apk","user_nickname_button_verify","Verification","Verificatie",
"AccountAndSyncSettings.apk","user_email_button_verify","Verification","verificatie",
"AccountAndSyncSettings.apk","user_phone_button_verify","Verification","verificatie",
"AccountAndSyncSettings.apk","bad_verification","Verification has failed","Verificatie is mislukt",
